,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 16:29:00+09:00,2752157.0,2759041.0,2752157.0,2756211.0,10.99589657,30298337.86001978
2022-09-08 16:30:00+09:00,2756825.0,2757695.0,2754304.0,2755056.0,5.56114488,15326367.85289996
2022-09-08 16:31:00+09:00,2754830.0,2759209.0,2754122.0,2757943.0,16.6161305,45809472.02722641
2022-09-08 16:32:00+09:00,2758029.0,2761890.0,2757526.0,2760763.0,17.91605487,49448756.37734514
2022-09-08 16:33:00+09:00,2760858.0,2762462.0,2760516.0,2761534.0,7.52804022,20788069.15827006
2022-09-08 16:34:00+09:00,2761537.0,2762548.0,2760752.0,2762548.0,3.1571999,8718704.73259842
2022-09-08 16:35:00+09:00,2762456.0,2763669.0,2761066.0,2763016.0,6.85515382,18935043.59561655
2022-09-08 16:36:00+09:00,2763016.0,2765131.0,2763013.0,2763688.0,14.26363896,39423756.20178805
2022-09-08 16:37:00+09:00,2763688.0,2764134.0,2760719.0,2761804.0,9.49590414,26232821.23409321
2022-09-08 16:38:00+09:00,2760954.0,2763618.0,2760366.0,2762656.0,4.47007808,12346661.60709643
2022-09-08 16:39:00+09:00,2762886.0,2770335.0,2762538.0,2768666.0,19.54061395,54069534.26517844
2022-09-08 16:40:00+09:00,2768666.0,2769012.0,2766134.0,2766184.0,7.75745126,21468571.01647656
2022-09-08 16:41:00+09:00,2766239.0,2767556.0,2765898.0,2767303.0,4.71313551,13040357.80082385
2022-09-08 16:42:00+09:00,2767081.0,2767360.0,2763521.0,2763810.0,10.20459167,28208809.18366033
2022-09-08 16:43:00+09:00,2764161.0,2765066.0,2762626.0,2763346.0,9.71036597,26836217.81901268
2022-09-08 16:44:00+09:00,2762878.0,2764529.0,2762129.0,2764183.0,8.24682659,22791100.52618848
2022-09-08 16:45:00+09:00,2764183.0,2766059.0,2763613.0,2765375.0,4.37636022,12098646.04479903
2022-09-08 16:46:00+09:00,2765375.0,2765681.0,2764261.0,2765152.0,3.59081395,9928331.25294446
2022-09-08 16:47:00+09:00,2764963.0,2765529.0,2762886.0,2762886.0,3.86976272,10696231.36852731
